"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.10.2019","227,70","226,00","227,90","225,11","17,80M","0,75%"
"15.10.2019","226,00","226,00","227,15","224,06","18,16M","0,00%"
"14.10.2019","226,00","227,37","228,61","225,50","14,70M","-0,60%"
"11.10.2019","227,37","225,00","227,50","224,82","18,39M","1,28%"
"10.10.2019","224,50","223,00","224,93","222,27","14,67M","0,59%"
"09.10.2019","223,18","223,10","224,71","221,72","14,92M","-0,01%"
"08.10.2019","223,20","226,53","227,70","222,71","22,26M","-1,40%"
"07.10.2019","226,36","221,90","226,81","220,68","22,39M","2,12%"
"04.10.2019","221,66","224,30","224,65","221,24","22,03M","-0,65%"
"03.10.2019","223,10","223,50","224,89","220,79","29,98M","-0,22%"
"02.10.2019","223,60","226,16","226,65","223,25","31,88M","-1,28%"
"01.10.2019","226,49","226,00","227,70","225,17","16,75M","0,26%"
"30.09.2019","225,90","229,05","229,46","225,90","26,48M","-1,36%"
"27.09.2019","229,01","231,92","232,14","229,01","13,57M","-1,28%"
"26.09.2019","231,97","228,74","233,70","228,31","40,42M","1,55%"
"25.09.2019","228,43","227,04","228,70","225,76","22,05M","0,32%"
"24.09.2019","227,70","230,36","230,68","227,19","22,37M","-1,15%"
"23.09.2019","230,36","230,50","231,25","228,87","16,89M","-0,02%"
"20.09.2019","230,41","230,75","231,00","228,50","34,65M","-0,05%"
"19.09.2019","230,52","233,11","233,28","230,06","31,66M","-1,26%"
"18.09.2019","233,46","233,00","233,96","232,30","12,28M","-0,05%"
"17.09.2019","233,58","234,53","235,17","232,36","28,34M","-0,55%"
"16.09.2019","234,88","233,98","234,88","232,57","29,14M","1,02%"
"13.09.2019","232,50","232,51","233,41","230,80","17,97M","-0,16%"
"12.09.2019","232,88","234,30","235,28","231,51","29,00M","-0,93%"
"11.09.2019","235,07","233,03","235,38","232,20","27,12M","0,89%"
"10.09.2019","233,00","234,32","235,10","232,02","24,06M","-0,79%"
"09.09.2019","234,85","235,00","235,62","233,00","16,64M","0,15%"
"06.09.2019","234,49","235,66","235,97","232,38","24,97M","-0,72%"
"05.09.2019","236,18","234,70","238,17","234,64","29,87M","1,06%"
"04.09.2019","233,71","232,70","234,78","232,18","27,53M","1,16%"
"03.09.2019","231,02","233,40","233,60","229,96","20,66M","-1,13%"
"02.09.2019","233,67","231,75","234,22","230,50","19,26M","0,65%"
"30.08.2019","232,15","233,69","233,85","231,07","22,03M","-0,45%"
"29.08.2019","233,20","228,85","235,25","228,67","47,58M","2,07%"
"28.08.2019","228,48","226,56","228,64","224,88","32,52M","0,65%"
"27.08.2019","227,00","228,92","229,28","223,00","55,77M","-0,83%"
"26.08.2019","228,90","228,88","230,60","228,05","11,24M","-0,20%"
"23.08.2019","229,35","232,70","233,04","228,93","29,02M","-1,17%"
"22.08.2019","232,06","230,90","233,98","230,21","26,49M","0,36%"
"21.08.2019","231,22","231,80","232,32","230,50","20,50M","-0,14%"
"20.08.2019","231,54","226,58","232,32","226,15","34,64M","2,09%"
"19.08.2019","226,80","225,99","227,20","223,65","19,13M","0,93%"
"16.08.2019","224,71","228,48","229,38","224,08","25,16M","-1,07%"
"15.08.2019","227,15","227,69","229,70","224,89","32,30M","0,02%"
"14.08.2019","227,10","231,10","231,19","224,58","35,84M","-1,21%"
"13.08.2019","229,87","229,88","232,16","226,46","35,15M","-0,16%"
"12.08.2019","230,24","231,06","232,97","229,29","15,93M","0,12%"
"09.08.2019","229,96","231,45","232,26","228,91","18,56M","-0,54%"
"08.08.2019","231,21","230,51","233,54","230,43","29,63M","1,55%"
"07.08.2019","227,67","226,90","232,67","225,50","49,73M","0,40%"
"06.08.2019","226,76","223,62","227,78","223,62","30,46M","1,41%"
"05.08.2019","223,61","226,00","228,00","222,30","53,37M","-1,89%"
"02.08.2019","227,91","231,10","233,17","227,91","59,30M","-2,72%"
"01.08.2019","234,28","234,54","237,34","233,29","31,28M","-1,11%"
"31.07.2019","236,90","237,41","239,64","234,44","45,44M","-0,08%"
"30.07.2019","237,10","236,10","237,13","232,37","44,06M","0,16%"
"29.07.2019","236,73","234,12","238,70","231,83","50,48M","1,07%"
"26.07.2019","234,23","217,00","236,00","217,00","181,11M","6,95%"
"25.07.2019","219,00","208,00","228,94","206,00","168,79M","3,30%"
"24.07.2019","212,00","218,47","218,47","210,51","44,52M","-2,48%"
"23.07.2019","217,39","217,50","221,17","216,76","34,74M","0,12%"
"22.07.2019","217,12","215,97","220,00","214,10","33,71M","0,52%"
"19.07.2019","216,00","219,50","220,43","215,37","20,03M","-1,05%"
"18.07.2019","218,30","219,00","219,80","215,77","30,87M","-0,86%"
"17.07.2019","220,19","223,56","224,03","218,63","49,43M","-7,49%"
"16.07.2019","238,01","240,01","240,40","235,83","40,88M","-0,95%"
"15.07.2019","240,30","246,98","248,08","240,10","35,98M","-2,12%"
"12.07.2019","245,50","247,00","247,80","244,00","21,63M","-0,69%"
"11.07.2019","247,20","250,00","250,69","245,00","43,06M","-1,20%"
"10.07.2019","250,21","250,75","251,48","248,80","33,02M","0,02%"
"09.07.2019","250,17","248,69","252,93","247,71","32,46M","0,67%"
"08.07.2019","248,51","250,09","250,96","245,20","39,35M","-0,95%"
"05.07.2019","250,89","255,32","255,96","250,12","36,24M","-1,75%"
"04.07.2019","255,35","251,60","256,40","250,61","43,49M","1,49%"
"03.07.2019","251,60","246,00","251,60","245,55","44,80M","2,01%"
"02.07.2019","246,65","246,25","249,26","243,70","31,53M","0,47%"
"01.07.2019","245,50","234,10","248,43","234,10","79,85M","5,44%"
"28.06.2019","232,83","233,20","235,47","232,35","42,49M","0,10%"
"27.06.2019","232,60","233,00","234,93","232,60","22,24M","-0,21%"
"26.06.2019","233,10","232,51","233,60","232,00","19,24M","0,44%"
"25.06.2019","232,09","232,01","232,19","229,64","21,54M","-0,12%"
"24.06.2019","232,38","229,54","233,04","229,47","22,08M","1,44%"
"21.06.2019","229,09","232,52","232,52","228,85","47,10M","-1,48%"
"20.06.2019","232,52","234,00","234,45","231,45","44,89M","0,03%"
"19.06.2019","232,46","232,50","235,42","232,00","31,84M","0,14%"
"18.06.2019","232,13","229,67","232,30","228,30","32,23M","1,01%"
"17.06.2019","229,81","231,58","234,44","229,63","32,36M","-0,73%"
"14.06.2019","231,51","234,13","235,44","231,26","25,41M","-1,25%"
"13.06.2019","234,44","233,74","237,35","233,01","35,41M","-0,18%"
"11.06.2019","234,86","232,32","237,63","231,13","44,89M","1,19%"
"10.06.2019","232,10","230,85","234,30","230,40","30,62M","0,69%"
"07.06.2019","230,50","233,77","233,77","230,00","42,25M","-0,41%"
"06.06.2019","231,45","230,00","236,62","228,71","55,26M","0,63%"
"05.06.2019","230,01","230,24","233,30","228,04","40,24M","-0,07%"
"04.06.2019","230,16","233,50","235,59","223,52","109,61M","-2,27%"
"03.06.2019","235,51","214,41","251,65","213,50","218,66M","9,49%"
"31.05.2019","215,10","212,00","215,27","210,05","43,76M","0,94%"
"30.05.2019","213,10","207,90","216,45","207,57","77,21M","2,88%"
"29.05.2019","207,14","202,11","207,69","201,11","42,94M","1,97%"
"28.05.2019","203,13","206,00","206,00","201,00","61,17M","-1,49%"
"27.05.2019","206,20","204,25","206,60","200,84","28,13M","0,83%"
"24.05.2019","204,50","209,49","210,20","203,76","29,04M","-2,09%"
"23.05.2019","208,86","207,00","212,18","205,84","54,53M","0,37%"
"22.05.2019","208,10","208,92","210,11","206,33","35,10M","0,14%"
"21.05.2019","207,80","201,30","210,98","199,01","90,77M","3,49%"
"20.05.2019","200,80","200,20","201,48","198,30","27,30M","0,96%"
"17.05.2019","198,89","201,80","202,30","197,71","49,62M","-1,88%"
"16.05.2019","202,70","194,31","203,45","194,24","100,06M","3,62%"
"15.05.2019","195,61","193,00","198,40","192,29","135,54M","3,13%"
"14.05.2019","189,67","163,00","190,90","162,65","182,19M","16,36%"
"13.05.2019","163,00","163,48","164,34","163,00","16,95M","-0,37%"
"10.05.2019","163,61","163,60","164,90","162,62","16,16M","0,02%"
"08.05.2019","163,57","164,50","165,44","163,55","17,90M","-0,39%"
"07.05.2019","164,21","165,00","166,27","164,21","19,35M","-0,75%"
"06.05.2019","165,45","165,00","165,45","163,34","15,57M","-0,52%"
"03.05.2019","166,31","166,20","166,98","165,83","13,23M","0,36%"
"02.05.2019","165,71","163,67","166,85","163,67","20,69M","1,07%"
"30.04.2019","163,95","164,10","165,40","163,01","31,33M","0,01%"
"29.04.2019","163,93","161,20","164,74","160,68","31,20M","1,82%"
"26.04.2019","161,00","159,03","161,00","158,58","17,63M","1,06%"
"25.04.2019","159,31","160,25","160,95","158,80","21,71M","-0,78%"
"24.04.2019","160,57","162,91","163,07","159,18","25,76M","-1,14%"
"23.04.2019","162,42","163,50","163,85","160,91","15,16M","-0,66%"
"22.04.2019","163,50","163,21","164,34","162,76","8,95M","0,57%"
"19.04.2019","162,57","161,95","162,57","161,50","3,85M","0,48%"
"18.04.2019","161,79","163,75","163,79","160,85","19,65M","-1,35%"
"17.04.2019","164,00","163,40","165,40","162,40","28,49M","1,08%"
"16.04.2019","162,24","158,99","163,42","158,21","27,28M","2,47%"
"15.04.2019","158,33","160,00","160,60","157,62","18,39M","-0,50%"
"12.04.2019","159,12","158,51","160,46","157,90","29,34M","0,68%"
"11.04.2019","158,04","162,38","162,95","158,04","44,98M","-2,97%"
"10.04.2019","162,88","162,40","164,95","162,12","38,96M","0,11%"
"09.04.2019","162,70","160,41","163,35","159,80","40,15M","1,37%"
"08.04.2019","160,50","158,81","160,88","158,81","25,83M","1,20%"
"05.04.2019","158,60","158,33","159,50","157,87","22,89M","-0,18%"
"04.04.2019","158,89","156,75","158,89","156,40","23,00M","1,21%"
"03.04.2019","156,99","155,30","157,58","155,30","33,85M","1,28%"
"02.04.2019","155,00","154,85","155,80","153,30","30,99M","0,30%"
"01.04.2019","154,53","150,28","154,81","149,92","37,03M","3,29%"
"29.03.2019","149,61","150,17","151,64","149,13","26,45M","-0,25%"
"28.03.2019","149,98","149,79","150,75","148,83","16,39M","0,33%"
"27.03.2019","149,49","150,88","151,44","149,03","23,94M","-1,08%"
"26.03.2019","151,12","151,99","152,91","150,83","21,64M","-0,77%"
"25.03.2019","152,29","151,21","152,29","150,72","22,54M","0,00%"
"22.03.2019","152,29","155,02","155,02","151,85","23,21M","-1,96%"
"21.03.2019","155,33","156,40","156,70","154,52","28,16M","-0,49%"
"20.03.2019","156,09","155,51","156,14","154,00","20,10M","0,38%"
"19.03.2019","155,50","155,84","156,45","154,60","17,54M","-0,22%"
"18.03.2019","155,84","154,20","156,48","153,60","22,07M","0,83%"
"15.03.2019","154,56","152,98","154,56","152,11","33,33M","1,23%"
"14.03.2019","152,68","153,39","154,40","152,53","19,96M","-0,40%"
"13.03.2019","153,30","151,10","153,30","150,66","18,55M","1,09%"
"12.03.2019","151,64","152,24","152,95","150,84","15,49M","0,03%"
"11.03.2019","151,60","151,90","152,47","150,51","19,52M","-0,20%"
"07.03.2019","151,90","154,01","154,19","151,58","19,67M","-1,49%"
"06.03.2019","154,20","153,31","154,45","153,07","17,14M","0,65%"
"05.03.2019","153,20","154,05","154,65","153,11","20,13M","-0,78%"
"04.03.2019","154,40","156,75","156,76","154,40","17,20M","-1,47%"
"01.03.2019","156,71","158,92","159,55","156,31","21,89M","-1,43%"
"28.02.2019","158,99","156,22","159,25","156,02","34,68M","1,66%"
"27.02.2019","156,40","155,70","157,15","154,82","19,72M","0,67%"
"26.02.2019","155,36","153,95","155,36","152,82","18,30M","0,49%"
"25.02.2019","154,60","155,01","155,37","153,56","14,81M","-0,03%"
"22.02.2019","154,64","153,51","155,65","153,49","13,20M","0,74%"
"21.02.2019","153,50","154,84","155,41","153,01","15,22M","-0,60%"
"20.02.2019","154,43","154,65","155,66","153,67","21,15M","0,26%"
"19.02.2019","154,03","156,41","157,14","153,36","20,05M","-1,53%"
"18.02.2019","156,43","159,25","159,90","156,14","17,78M","-1,64%"
"15.02.2019","159,04","155,99","159,04","155,89","24,57M","2,51%"
"14.02.2019","155,15","157,35","158,74","155,15","38,38M","-2,59%"
"13.02.2019","159,27","164,00","164,28","159,27","22,01M","-2,69%"
"12.02.2019","163,68","161,50","163,68","160,75","14,99M","1,48%"
"11.02.2019","161,29","160,40","162,30","160,18","19,13M","0,93%"
"08.02.2019","159,80","159,16","161,36","158,11","19,42M","-0,37%"
"07.02.2019","160,39","162,89","163,44","159,10","23,54M","-1,73%"
"06.02.2019","163,21","164,41","164,67","163,07","9,55M","-0,63%"
"05.02.2019","164,25","163,45","165,43","162,54","13,71M","0,64%"
"04.02.2019","163,20","163,49","165,00","162,81","11,46M","-0,08%"
"01.02.2019","163,33","162,49","164,37","161,75","23,09M","0,31%"
"31.01.2019","162,82","166,00","166,49","162,55","30,70M","-1,56%"
"30.01.2019","165,40","162,51","165,84","162,26","25,11M","1,50%"
"29.01.2019","162,95","160,10","162,98","159,00","22,82M","1,49%"
"28.01.2019","160,56","162,40","163,58","159,82","23,90M","-1,39%"
"25.01.2019","162,82","161,61","162,82","160,18","19,77M","1,19%"
"24.01.2019","160,90","159,78","162,78","158,86","35,66M","0,63%"
"23.01.2019","159,90","158,24","159,90","158,02","14,57M","0,88%"
"22.01.2019","158,50","157,86","158,50","156,57","18,84M","0,13%"
"21.01.2019","158,30","159,02","160,07","158,01","11,92M","-0,57%"
"18.01.2019","159,20","158,16","159,20","157,43","18,27M","1,34%"
"17.01.2019","157,10","157,40","157,40","155,60","16,24M","0,13%"
"16.01.2019","156,90","158,50","158,75","155,80","20,87M","-0,79%"
"15.01.2019","158,15","160,97","161,50","157,35","20,87M","-1,45%"
"14.01.2019","160,48","159,70","160,75","159,20","12,59M","-0,32%"
"11.01.2019","161,00","160,20","161,13","159,80","17,61M","0,50%"
"10.01.2019","160,20","159,75","160,20","157,56","19,95M","-0,02%"
"09.01.2019","160,24","158,88","160,40","158,40","19,15M","1,25%"
"08.01.2019","158,26","158,75","158,94","156,55","17,04M","-0,56%"
"04.01.2019","159,15","156,71","159,15","156,71","14,56M","1,84%"
"03.01.2019","156,28","154,13","157,30","154,11","14,18M","1,81%"
"29.12.2018","153,50","153,69","153,73","152,82","2,90M","0,33%"
"28.12.2018","153,00","151,68","153,80","151,16","14,22M","1,54%"
"27.12.2018","150,68","151,00","152,40","150,06","16,36M","1,53%"
"26.12.2018","148,41","147,47","149,66","147,36","8,59M","0,95%"
"25.12.2018","147,01","148,36","148,49","145,02","13,18M","-1,82%"
"24.12.2018","149,73","150,66","151,15","148,93","10,71M","-0,92%"
"21.12.2018","151,12","151,45","152,27","150,32","24,62M","-0,76%"
"20.12.2018","152,27","150,22","152,38","149,70","27,35M","-0,46%"
"19.12.2018","152,98","151,01","153,79","150,71","19,87M","0,72%"
"18.12.2018","151,89","152,40","152,42","150,05","30,10M","-1,07%"
"17.12.2018","153,53","155,40","156,41","152,93","18,36M","-1,20%"
"14.12.2018","155,40","155,91","155,98","153,51","13,74M","-0,70%"
"13.12.2018","156,49","154,95","156,49","153,25","19,68M","0,45%"
"12.12.2018","155,79","158,00","158,09","154,00","32,73M","-1,77%"
"11.12.2018","158,60","160,80","161,27","157,69","24,95M","-1,49%"
"10.12.2018","161,00","161,50","162,50","160,68","13,64M","-1,23%"
"07.12.2018","163,00","160,81","163,15","159,67","29,92M","1,48%"
"06.12.2018","160,62","162,90","163,00","159,00","30,37M","-2,40%"
"05.12.2018","164,57","161,23","164,57","160,31","23,41M","0,23%"
"04.12.2018","164,20","164,94","165,00","162,30","21,85M","-0,73%"
"03.12.2018","165,40","164,27","166,65","163,81","39,36M","2,55%"
"30.11.2018","161,29","164,40","164,65","160,25","34,06M","-2,24%"
"29.11.2018","164,99","166,60","167,36","163,60","43,34M","-0,36%"
"28.11.2018","165,58","154,21","166,10","154,00","75,59M","7,66%"
"27.11.2018","153,80","149,92","154,27","149,80","20,11M","2,86%"
"26.11.2018","149,53","151,51","151,79","146,30","30,53M","-1,49%"
"23.11.2018","151,79","153,43","153,67","150,30","19,15M","-1,38%"
"22.11.2018","153,91","152,44","154,40","152,02","11,61M","0,99%"
"21.11.2018","152,40","151,23","152,75","151,13","15,58M","0,59%"
"20.11.2018","151,51","153,80","154,00","150,30","17,17M","-1,68%"
"19.11.2018","154,10","153,50","155,00","153,42","18,74M","0,61%"
"16.11.2018","153,16","154,48","154,76","151,54","22,64M","-0,64%"
"15.11.2018","154,14","152,77","155,21","152,60","29,42M","1,51%"
"14.11.2018","151,85","148,30","152,18","147,55","29,95M","2,03%"
"13.11.2018","148,83","150,48","151,50","148,80","28,46M","-1,37%"
"12.11.2018","150,89","153,34","153,90","150,80","18,24M","-1,50%"
"09.11.2018","153,19","156,60","156,86","151,80","34,57M","-2,74%"
"08.11.2018","157,51","158,00","159,00","156,71","19,91M","-0,22%"
"07.11.2018","157,85","156,05","157,89","154,70","34,10M","1,19%"
"06.11.2018","156,00","154,77","156,65","154,38","17,93M","1,49%"
"02.11.2018","153,71","154,20","154,99","153,32","15,94M","0,14%"
"01.11.2018","153,50","155,02","155,10","153,17","17,07M","-1,27%"
"31.10.2018","155,47","152,00","155,47","152,00","24,38M","2,76%"
"30.10.2018","151,30","151,99","153,74","149,90","18,66M","-0,80%"
"29.10.2018","152,52","152,00","153,76","151,56","15,75M","0,01%"
"26.10.2018","152,50","155,01","155,24","151,21","24,34M","-2,02%"
"25.10.2018","155,65","152,70","156,87","152,50","35,22M","0,61%"
"24.10.2018","154,70","154,83","156,58","152,31","38,42M","0,71%"
"23.10.2018","153,61","154,50","155,20","151,76","31,88M","-1,34%"
"22.10.2018","155,70","161,50","162,50","155,42","26,20M","-3,48%"
"19.10.2018","161,32","160,70","161,32","158,19","31,88M","0,71%"
"18.10.2018","160,18","163,55","164,55","159,70","27,10M","-2,66%"
"17.10.2018","164,56","167,11","167,38","163,30","19,43M","-0,86%"
"16.10.2018","165,99","163,97","166,00","161,61","19,28M","1,21%"
"15.10.2018","164,00","167,50","168,60","163,18","20,22M","-1,80%"
"12.10.2018","167,00","163,20","167,59","163,10","32,12M","3,14%"
"11.10.2018","161,92","162,40","163,80","160,60","43,98M","-2,58%"
"10.10.2018","166,20","172,05","172,95","165,90","40,75M","-3,43%"
"09.10.2018","172,11","172,53","176,95","172,11","45,95M","0,17%"
"08.10.2018","171,81","171,99","173,95","170,55","24,42M","0,77%"
"05.10.2018","170,50","167,80","171,14","166,52","30,15M","1,19%"
"04.10.2018","168,50","169,60","171,95","167,15","54,27M","-0,57%"
"03.10.2018","169,47","163,00","170,15","162,77","65,15M","4,23%"
"02.10.2018","162,59","162,02","163,47","160,97","22,82M","0,43%"
"01.10.2018","161,89","163,45","163,93","161,20","15,84M","-0,44%"
"28.09.2018","162,61","162,05","163,19","160,50","18,92M","0,50%"
"27.09.2018","161,80","159,38","162,45","158,57","41,27M","1,59%"
"26.09.2018","159,27","161,26","162,00","158,64","25,68M","-0,98%"
"25.09.2018","160,84","159,48","160,94","157,80","21,99M","1,16%"
"24.09.2018","159,00","158,50","159,50","157,60","21,61M","0,23%"
"21.09.2018","158,64","154,69","158,95","154,52","48,19M","2,78%"
"20.09.2018","154,35","157,10","158,89","154,35","52,20M","-1,93%"
"19.09.2018","157,39","157,50","159,79","156,65","43,39M","0,20%"
"18.09.2018","157,08","155,50","157,87","154,74","27,16M","1,04%"
"17.09.2018","155,46","151,99","155,74","151,41","33,79M","2,18%"
"14.09.2018","152,15","153,38","154,00","151,77","14,18M","-0,88%"
"13.09.2018","153,50","154,53","155,79","153,00","21,63M","-1,00%"
"12.09.2018","155,05","153,00","156,00","152,54","34,19M","1,77%"
"11.09.2018","152,36","150,75","152,95","150,17","44,75M","1,07%"
"10.09.2018","150,75","149,00","150,75","148,15","18,68M","1,31%"
"07.09.2018","148,80","146,99","148,99","146,54","16,29M","1,18%"
"06.09.2018","147,06","147,00","149,50","146,89","22,09M","0,00%"
"05.09.2018","147,06","147,28","148,50","146,85","15,87M","-0,23%"
"04.09.2018","147,40","148,87","149,41","146,39","17,08M","-0,89%"
"03.09.2018","148,73","149,99","151,00","148,52","15,00M","-0,81%"
"31.08.2018","149,95","145,70","150,20","144,78","32,96M","2,72%"
"30.08.2018","145,98","147,82","148,34","145,66","17,22M","-1,28%"
"29.08.2018","147,88","145,95","147,88","145,40","19,15M","1,57%"
"28.08.2018","145,60","144,57","146,73","144,57","19,61M","0,75%"
"27.08.2018","144,52","143,51","144,52","143,25","12,77M","0,64%"
"24.08.2018","143,60","141,50","143,98","141,50","19,00M","1,48%"
"23.08.2018","141,50","143,85","145,00","141,50","21,39M","-1,85%"
"22.08.2018","144,16","143,50","144,41","142,30","16,25M","0,60%"
"21.08.2018","143,30","141,55","143,49","140,12","13,67M","1,26%"
"20.08.2018","141,51","141,97","142,22","140,61","8,23M","0,35%"
"17.08.2018","141,01","140,88","141,76","140,03","15,08M","0,09%"
"16.08.2018","140,88","141,50","142,09","139,95","14,33M","-0,44%"
"15.08.2018","141,50","141,00","141,68","139,50","20,93M","0,18%"
"14.08.2018","141,24","143,49","143,49","139,85","22,38M","-1,16%"
"13.08.2018","142,90","143,90","145,15","142,54","22,82M","-1,31%"
"10.08.2018","144,80","144,69","146,20","144,01","27,20M","-0,28%"
"09.08.2018","145,20","143,26","145,46","143,26","29,20M","0,76%"
"08.08.2018","144,10","142,71","144,19","142,20","27,01M","0,95%"
"07.08.2018","142,74","141,35","143,04","140,95","14,05M","0,99%"
"06.08.2018","141,34","142,44","142,58","140,32","15,24M","-0,74%"
"03.08.2018","142,39","140,20","142,39","139,50","21,85M","1,45%"
"02.08.2018","140,36","141,75","142,89","139,76","12,67M","-1,25%"
"01.08.2018","142,14","143,01","143,31","141,48","18,31M","-1,15%"
"31.07.2018","143,79","138,89","143,79","138,46","31,49M","3,52%"
"30.07.2018","138,90","137,59","138,90","137,12","13,23M","0,66%"
"27.07.2018","137,99","138,45","138,70","137,13","9,52M","-0,14%"
"26.07.2018","138,18","138,84","139,17","137,74","10,80M","-0,02%"
"25.07.2018","138,21","138,10","138,88","137,64","13,72M","-0,46%"
"24.07.2018","138,85","138,78","139,70","137,92","13,40M","0,35%"
"23.07.2018","138,37","136,59","139,22","136,58","17,91M","1,39%"
"20.07.2018","136,47","137,58","138,00","136,42","18,70M","-0,81%"
"19.07.2018","137,58","138,39","138,66","136,85","18,37M","-0,51%"
"18.07.2018","138,29","138,89","138,99","137,45","28,75M","-4,83%"
"17.07.2018","145,31","146,60","146,73","144,15","25,69M","-1,15%"
"16.07.2018","147,00","146,80","148,98","146,13","25,87M","0,09%"
"13.07.2018","146,87","145,30","146,87","144,87","13,54M","1,23%"
"12.07.2018","145,08","144,76","145,70","143,50","19,73M","0,21%"
"11.07.2018","144,77","146,78","146,78","143,85","23,49M","-1,72%"
"10.07.2018","147,30","148,27","148,37","146,42","18,13M","-0,47%"
"09.07.2018","148,00","145,75","148,10","145,53","17,77M","2,10%"
"06.07.2018","144,96","145,80","145,80","143,57","17,19M","-0,41%"
"05.07.2018","145,55","142,15","145,55","141,64","19,51M","2,33%"
"04.07.2018","142,24","142,40","143,13","141,87","6,35M","-0,18%"
"03.07.2018","142,49","144,11","144,20","141,95","15,04M","-1,05%"
"02.07.2018","144,00","140,82","144,20","140,07","25,21M","2,12%"
"29.06.2018","141,01","139,30","141,01","139,17","25,81M","1,62%"
"28.06.2018","138,76","139,00","140,33","138,35","22,69M","-0,17%"
"27.06.2018","139,00","138,01","139,85","137,07","18,95M","0,67%"
"26.06.2018","138,07","137,44","138,88","137,36","13,72M","0,71%"
"25.06.2018","137,10","136,50","138,44","136,50","17,18M","0,25%"
"22.06.2018","136,76","135,00","137,55","135,00","23,96M","1,76%"
"21.06.2018","134,40","136,51","137,90","134,04","28,73M","-1,83%"
"20.06.2018","136,91","136,50","138,50","136,00","27,07M","1,04%"
"19.06.2018","135,50","136,00","136,28","132,86","36,40M","-0,75%"
"18.06.2018","136,52","138,05","138,30","136,00","23,08M","-0,88%"
