"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","10,74","10,77","10,86","10,68","14,36M","-0,28%"
"27.12.2019","10,77","10,83","10,87","10,67","11,28M","-0,46%"
"26.12.2019","10,82","10,62","10,82","10,61","11,70M","1,69%"
"23.12.2019","10,64","10,59","10,64","10,55","11,97M","0,76%"
"20.12.2019","10,56","10,66","10,66","10,55","27,32M","-0,94%"
"19.12.2019","10,66","10,60","10,66","10,52","26,25M","0,09%"
"18.12.2019","10,65","10,53","10,65","10,47","44,37M","1,04%"
"17.12.2019","10,54","10,43","10,54","10,39","19,69M","1,84%"
"16.12.2019","10,35","10,48","10,59","10,35","24,50M","-0,96%"
"13.12.2019","10,45","10,43","10,45","10,29","24,88M","0,87%"
"12.12.2019","10,36","10,43","10,50","10,36","26,74M","-0,19%"
"11.12.2019","10,38","10,50","10,52","10,34","23,88M","-0,29%"
"10.12.2019","10,41","10,43","10,52","10,32","19,27M","-0,19%"
"09.12.2019","10,43","10,30","10,48","10,27","18,06M","1,66%"
"06.12.2019","10,26","10,39","10,44","10,24","20,10M","-0,97%"
"05.12.2019","10,36","10,41","10,52","10,35","16,05M","-0,38%"
"04.12.2019","10,40","10,17","10,40","10,16","18,57M","2,36%"
"03.12.2019","10,16","10,22","10,25","10,11","16,95M","-0,20%"
"02.12.2019","10,18","10,14","10,23","10,13","15,44M","0,69%"
"29.11.2019","10,11","10,11","10,17","10,01","17,48M","0,10%"
"28.11.2019","10,10","10,02","10,12","9,95","13,66M","0,30%"
"27.11.2019","10,07","9,99","10,14","9,91","17,40M","1,21%"
"26.11.2019","9,95","10,20","10,20","9,91","43,50M","-2,45%"
"25.11.2019","10,20","10,46","10,47","10,20","24,29M","-2,39%"
"22.11.2019","10,45","10,30","10,45","10,27","17,40M","1,46%"
"21.11.2019","10,30","10,21","10,32","10,20","19,58M","0,68%"
"19.11.2019","10,23","10,38","10,42","10,17","20,12M","-1,25%"
"18.11.2019","10,36","10,46","10,53","10,36","16,61M","-0,29%"
"14.11.2019","10,39","10,30","10,41","10,23","14,27M","0,97%"
"13.11.2019","10,29","10,42","10,44","10,20","25,61M","-1,63%"
"12.11.2019","10,46","10,50","10,50","10,29","18,08M","-1,23%"
"11.11.2019","10,59","10,48","10,59","10,42","18,00M","0,95%"
"08.11.2019","10,49","10,59","10,62","10,40","19,62M","-1,22%"
"07.11.2019","10,62","10,68","10,73","10,55","25,26M","-0,19%"
"06.11.2019","10,64","10,72","10,86","10,61","21,87M","-0,75%"
"05.11.2019","10,72","10,80","10,86","10,68","23,87M","1,23%"
"04.11.2019","10,59","10,52","10,62","10,46","14,03M","0,95%"
"01.11.2019","10,49","10,48","10,55","10,35","16,18M","0,38%"
"31.10.2019","10,45","10,57","10,57","10,37","26,62M","-1,69%"
"30.10.2019","10,63","10,48","10,66","10,36","19,63M","1,24%"
"29.10.2019","10,50","10,57","10,59","10,49","16,38M","-0,94%"
"28.10.2019","10,60","10,46","10,64","10,45","10,68M","0,86%"
"25.10.2019","10,51","10,42","10,55","10,42","13,47M","1,06%"
"24.10.2019","10,40","10,40","10,47","10,33","17,42M","-0,10%"
"23.10.2019","10,41","10,32","10,46","10,25","25,18M","0,77%"
"22.10.2019","10,33","10,11","10,33","10,09","26,77M","2,18%"
"21.10.2019","10,11","9,96","10,11","9,91","13,33M","1,51%"
"18.10.2019","9,96","9,98","10,02","9,92","13,57M","-0,60%"
"17.10.2019","10,02","10,01","10,11","9,95","17,31M","-0,20%"
"16.10.2019","10,04","9,83","10,05","9,70","21,08M","1,93%"
"15.10.2019","9,85","9,83","9,94","9,79","22,17M","0,10%"
"14.10.2019","9,84","9,67","9,84","9,63","14,96M","1,65%"
"11.10.2019","9,68","9,52","9,73","9,50","22,86M","2,22%"
"10.10.2019","9,47","9,39","9,50","9,37","11,22M","0,74%"
"09.10.2019","9,40","9,34","9,45","9,27","14,31M","1,62%"
"08.10.2019","9,25","9,34","9,43","9,23","21,45M","-0,32%"
"07.10.2019","9,28","9,53","9,59","9,28","25,08M","-2,62%"
"04.10.2019","9,53","9,56","9,56","9,40","23,54M","0,00%"
"03.10.2019","9,53","9,66","9,69","9,47","23,32M","-1,14%"
"02.10.2019","9,64","9,79","9,79","9,61","23,91M","-2,33%"
"01.10.2019","9,87","10,06","10,07","9,87","23,81M","-1,69%"
"30.09.2019","10,04","10,20","10,24","10,04","19,46M","-1,57%"
"27.09.2019","10,20","10,20","10,24","10,11","11,36M","-0,29%"
"26.09.2019","10,23","10,01","10,23","9,97","19,96M","2,20%"
"25.09.2019","10,01","9,91","10,04","9,87","16,89M","0,60%"
"24.09.2019","9,95","10,02","10,03","9,88","15,52M","-0,30%"
"23.09.2019","9,98","10,03","10,06","9,92","13,52M","-1,09%"
"20.09.2019","10,09","10,05","10,09","9,92","37,06M","1,20%"
"19.09.2019","9,97","10,10","10,18","9,92","24,35M","-0,89%"
"18.09.2019","10,06","10,07","10,09","9,92","15,50M","0,20%"
"17.09.2019","10,04","9,94","10,05","9,89","18,80M","0,40%"
"16.09.2019","10,00","10,01","10,01","9,85","36,73M","-0,30%"
"13.09.2019","10,03","10,01","10,19","9,97","30,87M","0,40%"
"12.09.2019","9,99","9,91","10,05","9,90","45,78M","1,32%"
"11.09.2019","9,86","9,93","9,95","9,82","15,00M","-0,30%"
"10.09.2019","9,89","9,99","10,04","9,83","21,60M","-1,00%"
"09.09.2019","9,99","9,87","10,06","9,86","28,89M","1,22%"
"06.09.2019","9,87","9,61","9,88","9,61","29,66M","2,92%"
"05.09.2019","9,59","9,31","9,63","9,28","34,16M","3,68%"
"04.09.2019","9,25","9,24","9,25","9,11","18,89M","1,54%"
"03.09.2019","9,11","9,24","9,33","9,07","19,30M","-1,51%"
"02.09.2019","9,25","9,35","9,39","9,23","12,29M","-1,07%"
"30.08.2019","9,35","9,41","9,43","9,26","25,90M","0,21%"
